Participant ID,Condition Number,Story1_Cond,Story2_Cond,Story3_Cond,,none,neutral,human,godot/tone,,Q228,Q254,Q230,Q231,Q232,Q255,Q234,Q256,Q252,Q253,Story1_Responses,,Q263,Q239,Q240,Q259,Q260,Q243,Q244,Q261,Q245,Q246,Story2_Responses,,Q247,Q248,Q249,Q250,Q251,Q252,Q253,Q254,Q255,Q256,Story3_Responses,,Q269,Q270,Q271,Q272,,Sex 1=male 2=female,Age,Ethnicity,Ethnicity_Text,PlaceofBirth,LanguageatHome,,
160,1,human,none,neutral,,3,3,7,3,,2,2,2,1,1,4,1,3,5,3,7,,1,3,1,1,1,1,1,1,2,2,3,,1,2,1,1,1,2,3,1,1,1,3,,2,1,2,2,,2,20,6,,"Glendale, CA",English,,
172,1,human,none,neutral,,4,2,3,4,,2,1,1,1,1,1,1,1,6,3,3,,1,2,2,1,1,1,2,1,2,1,4,,1,1,1,1,1,1,1,3,1,1,1,,2,3,2,2,,2,20,6,,"Redondo Beach, California",English,,
184,1,human,none,neutral,,5,6,4,0,,1,2,1,1,1,4,1,1,6,3,4,,1,3,2,1,3,2,1,3,1,1,5,,2,2,3,3,1,2,1,3,1,1,6,,1,1,1,1,,2,18,6,,"Long Branch, New Jersey",English,,
190,1,human,none,neutral,,1,0,4,3,,3,3,1,1,1,4,1,1,2,1,4,,1,1,1,1,1,1,2,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,,2,1,3,2,,2,18,6,,"Thousand Oaks, California",English,,
250,1,human,none,neutral,,4,4,6,2,,3,2,1,1,1,4,2,1,2,3,6,,2,1,1,1,1,2,2,1,3,1,4,,1,3,1,1,1,2,2,2,1,1,4,,1,1,2,2,,2,19,6,,"Mountain View, California",English,,
274,1,human,none,neutral,,4,1,7,3,,2,2,1,1,1,4,3,2,5,2,7,,1,1,2,1,1,1,2,1,2,3,4,,1,2,1,1,1,1,1,1,1,1,1,,3,1,2,2,,2,19,6,,"Mountain View, California",English,,
280,1,human,none,neutral,,4,3,6,3,,3,2,1,1,1,4,1,3,6,3,6,,2,2,1,1,1,2,1,1,2,1,4,,1,1,2,3,1,1,1,2,1,1,3,,2,1,3,2,,2,19,6,,"Stockton, California",English,,
286,1,human,none,neutral,,5,6,8,2,,2,2,1,2,1,5,2,3,6,3,8,,1,3,1,1,3,2,1,1,3,2,5,,1,2,2,3,1,2,3,3,1,1,6,,1,2,1,2,,2,18,6,,"Torrance,  California",English,,
144,2,human,neutral,none,,3,1,5,0,,2,2,1,1,1,1,3,1,6,3,5,,1,1,1,1,1,1,2,1,1,1,1,,2,1,1,1,1,1,2,3,1,1,3,,1,1,1,1,,1,18,1,Korean,Texas,Mostly English,,
179,2,human,neutral,none,,1,6,8,1,,1,2,2,2,1,5,2,3,5,3,8,,1,3,2,1,3,1,2,3,3,1,6,,1,1,1,1,1,1,1,3,1,1,1,,1,1,1,2,,1,18,1,Chinese,Downtown Los Angeles,English,,
185,2,human,neutral,none,,1,4,7,2,,3,2,2,1,3,4,1,1,6,3,7,,1,2,1,2,3,1,1,2,1,1,4,,1,2,1,1,1,1,1,1,1,1,1,,,1,1,2,,1,19,1,Chinese,Monterey Park,English,,
209,2,human,neutral,none,,4,5,5,3,,1,2,1,1,3,4,1,3,5,1,5,,1,3,3,3,1,1,1,1,3,3,5,,2,1,1,3,2,1,1,3,1,1,4,,3,2,2,1,,1,19,1,                                ,U.S.A.,English and Hindi,,
215,2,human,neutral,none,,3,5,6,2,,2,2,2,1,1,1,3,1,5,3,6,,1,3,1,1,1,1,2,2,2,3,5,,2,2,1,1,1,2,1,1,1,1,3,,1,1,2,2,,1,18,1,Chinese,"Oakland, CA",Cantonese,,
227,2,human,neutral,none,,5,5,8,2,,3,2,2,1,1,4,1,1,6,3,6,,2,2,1,2,1,1,1,2,1,3,5,,2,2,3,1,1,3,1,3,1,1,5,,2,1,1,2,,1,20,1,Filipino,Los Angeles,English,,
233,2,human,neutral,none,,3,3,6,2,,3,1,2,2,1,5,1,2,2,1,6,,1,2,1,1,1,3,1,1,1,3,3,,1,1,1,2,1,3,3,1,1,1,3,,1,2,2,1,,1,19,1,,"Redwood City, CA",English,,
245,2,human,neutral,none,,7,6,5,0,,1,1,1,1,2,4,1,2,5,3,5,,1,2,3,3,1,3,1,3,2,1,6,,1,3,3,1,3,3,3,3,3,1,7,,1,1,1,1,,1,20,1,chinese,s.f ca,chinese,,
299,2,human,neutral,none,,3,3,5,1,,1,2,2,3,1,1,1,1,5,3,5,,1,2,1,1,1,1,2,1,1,3,3,,1,2,1,1,1,1,3,3,1,1,3,,2,1,1,1,,1,18,1,Chinese,"Fremont, CA",English,,
126,2,human,neutral,none,,4,3,5,2,,1,2,3,1,1,4,1,1,6,3,5,,1,2,2,1,1,1,1,1,2,1,3,,2,2,1,1,1,2,1,3,1,1,4,,1,1,2,2,,2,18,1,Filipino,"San Francisco, CA",English,,
149,2,human,neutral,none,,3,5,4,1,,2,1,1,1,1,4,1,1,6,3,4,,2,3,1,1,1,3,1,1,3,3,5,,1,2,3,1,1,1,2,1,1,1,3,,1,1,1,2,,2,18,1,Filipino,United States,English,,
161,2,human,neutral,none,,2,4,9,0,,2,3,3,2,1,4,2,2,5,3,9,,1,3,2,1,1,1,1,1,2,3,4,,2,1,1,1,2,1,1,1,1,1,2,,1,1,1,1,,2,19,1,cambodian,"long beach, ca",english,,
191,2,human,neutral,none,,3,7,7,0,,2,1,2,3,1,4,1,2,6,3,7,,2,3,2,1,1,1,2,2,2,3,7,,1,2,3,1,1,1,1,1,1,3,3,,1,1,1,1,,2,18,1,Korean,Los Angeles ,English,,
197,2,human,neutral,none,,0,0,6,2,,3,2,2,1,2,4,1,1,2,1,6,,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,0,,1,3,1,2,,2,18,1,Chinese,"Fountain Valley, CA",English,,
221,2,human,neutral,none,,4,6,7,2,,3,2,3,1,1,4,3,1,5,2,7,,2,2,1,1,2,1,1,3,3,1,5,,1,2,1,2,1,2,2,1,1,1,4,,2,1,3,1,,2,19,1,Korean,"Garden Grove, California",Korean,,
239,2,human,neutral,none,,4,2,6,1,,1,3,2,1,1,5,2,1,6,2,6,,1,2,1,1,1,1,1,1,1,3,2,,1,2,2,1,1,1,3,3,1,1,4,,1,1,1,2,,2,18,1,Taiwanese,CA,English/Chinese,,
251,2,human,neutral,none,,1,0,4,2,,1,1,2,1,1,4,1,1,5,3,4,,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,2,1,1,1,1,,,1,1,3,,2,18,1,Vietnamese American,Fountain Valley,English,,
281,2,human,neutral,none,,2,2,6,1,,3,2,1,1,3,5,1,1,6,3,6,,1,1,2,1,1,1,1,1,1,3,2,,2,1,1,1,1,1,1,3,1,1,2,,1,1,1,2,,2,19,1,Filipino,"Oakland, California",English ,,
287,2,human,neutral,none,,0,2,6,1,,2,3,2,1,1,4,1,1,2,3,6,,2,1,1,3,1,1,1,1,1,1,2,,1,1,1,1,1,1,1,1,1,1,0,,2,1,1,1,,2,18,1,Chinese,China,Chinses / English / Taiwanese,,
305,2,human,neutral,none,,1,4,4,3,,3,1,1,1,1,4,1,3,6,1,4,,1,1,2,1,1,2,1,1,3,2,4,,2,1,1,1,1,1,1,1,1,1,1,,2,2,1,2,,2,21,1,Vietnamese American,"Modesto,CA",Vietnamese,,
132,2,human,neutral,none,,3,2,7,3,,3,2,3,2,1,1,1,2,6,3,7,,1,1,1,3,1,1,1,1,3,1,2,,2,1,1,1,1,2,1,3,1,1,3,,3,1,2,2,,1,18,6,,California,english,,
138,2,human,neutral,none,,3,4,5,2,,2,3,1,2,2,1,1,1,2,1,5,,2,3,1,1,1,1,2,2,1,1,4,,1,2,1,1,1,1,2,3,1,1,3,,2,3,1,1,,1,18,6,,pasadena California,english,,
155,2,human,neutral,none,,1,1,4,2,,3,1,2,2,1,1,1,1,2,1,4,,1,1,1,1,1,1,1,1,2,1,1,,1,1,1,1,1,1,2,1,1,1,1,,2,2,1,1,,1,18,6,,Redmond WA,English,,
173,2,human,neutral,none,,1,4,6,2,,3,3,3,1,1,4,2,1,2,1,6,,1,3,1,1,1,1,3,2,1,3,4,,2,1,1,1,1,1,1,1,1,1,1,,1,3,1,2,,1,20,6,,USA,English,,
167,2,human,neutral,none,,6,4,7,1,,3,1,1,1,2,4,3,2,2,3,7,,1,2,2,1,1,1,1,2,1,3,4,,3,2,1,1,1,2,2,3,1,3,6,,1,1,1,2,,2,18,6,,Washington DC,english,,
203,2,human,neutral,none,,2,3,4,1,,2,2,2,1,1,1,1,1,6,1,4,,1,3,1,1,1,1,2,1,2,1,3,,1,2,1,1,1,1,1,3,1,1,2,,1,1,2,1,,2,18,6,,"Austin, Texas",English,,
235,2,human,neutral,none,,1,3,3,3,,1,1,2,1,1,1,1,1,2,3,3,,1,1,2,1,1,1,1,1,3,2,3,,1,1,1,1,1,1,1,1,1,3,1,,2,1,3,2,,2,18,6,,"Los Gatos, California",English,,
257,2,human,neutral,none,,2,4,7,2,,3,1,3,2,1,4,2,1,5,3,7,,1,3,1,1,1,1,2,1,3,3,4,,1,1,1,2,2,1,1,1,1,1,2,,3,1,1,3,,2,19,6,,California,English,,
269,2,human,neutral,none,,0,3,5,2,,1,2,1,3,1,4,1,1,2,3,5,,1,3,1,2,1,1,1,1,1,2,3,,1,1,1,1,1,1,1,1,1,1,0,,2,1,1,2,,2,19,6,,"Woodland, CA",English,,
275,2,human,neutral,none,,1,0,2,2,,1,1,2,1,1,1,1,1,6,1,2,,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,,1,1,1,1,,3,1,2,1,,2,20,6,,ireland,english,,
293,2,human,neutral,none,,2,4,5,3,,2,2,2,1,1,5,1,1,2,1,5,,1,2,2,1,1,1,1,1,3,2,4,,1,1,1,3,1,1,1,3,1,1,2,,2,2,1,2,,2,18,6,,"Tacoma, Washington",English,,
127,3,none,human,neutral,,2,3,3,2,,1,1,2,1,1,1,1,1,5,1,2,,1,3,2,2,1,1,1,1,1,1,3,,3,1,1,1,1,2,1,3,1,1,3,,1,2,1,2,,1,18,1,Laotian,"Fresno, CA",Laotian,,
180,3,none,human,neutral,,3,3,7,2,,2,1,2,1,1,1,1,1,2,1,3,,1,3,2,1,1,3,2,3,2,2,7,,1,1,1,3,1,2,2,1,1,1,3,,1,1,2,2,,1,18,1,Chinese,California,"English, Cantonese",,
186,3,none,human,neutral,,4,1,3,2,,2,1,3,1,1,4,1,1,2,1,4,,1,1,2,1,1,1,1,1,2,3,3,,2,1,1,1,1,1,1,1,1,1,1,,3,1,3,1,,1,18,1,Pakistan,Los Angeles,English,,
306,3,none,human,neutral,,2,0,6,1,,1,1,1,1,1,4,1,1,6,1,2,,1,1,1,3,1,2,2,3,3,3,6,,1,1,1,1,1,1,1,1,1,1,0,,3,1,1,1,,1,22,1,East Indian,"Pasadena, CA",English,,
133,3,none,human,neutral,,1,2,0,3,,1,1,1,1,1,1,1,1,2,1,1,,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,2,1,1,1,1,,1,3,2,3,,2,19,1,Chinese,"Mountain View, CA",English and Chinese,,
139,3,none,human,neutral,,6,4,6,2,,1,1,1,2,2,5,2,1,2,2,6,,1,3,3,1,1,1,2,2,3,3,6,,1,2,1,3,1,1,1,3,1,3,4,,1,1,2,2,,2,18,1,Chinese,USA,CANTONESE,,
162,3,none,human,neutral,,4,6,4,4,,3,1,3,1,1,1,1,1,2,2,4,,1,2,1,3,1,1,2,1,3,1,4,,2,2,3,1,1,1,3,2,1,3,6,,2,3,3,2,,2,21,1,Filipino,Glendale,Englsh,,
198,3,none,human,neutral,,8,6,5,3,,1,2,3,1,3,4,2,3,2,3,8,,1,1,1,1,1,2,2,3,2,3,5,,1,2,2,1,1,2,2,3,1,3,6,,2,1,2,2,,2,18,1,cambodian,san diego,english,,
210,3,none,human,neutral,,9,5,8,1,,3,2,3,2,3,5,1,3,5,3,9,,1,2,2,3,3,3,3,3,1,3,8,,1,1,2,3,2,2,1,2,1,1,5,,3,1,1,1,,2,18,1,"Chinese, Vietnamese","San Francisco, CA","Cantonese, English",,
216,3,none,human,neutral,,8,1,5,3,,1,3,2,2,3,5,1,2,6,3,8,,2,1,2,1,1,1,2,2,1,2,5,,1,1,1,3,1,1,1,1,1,1,1,,2,1,2,2,,2,18,1,Filipino,Mountain View,English,,
222,3,none,human,neutral,,7,1,5,2,,3,2,1,2,3,4,1,1,2,3,7,,1,3,3,2,1,1,1,1,3,3,5,,2,1,1,1,1,1,1,1,1,1,1,,2,1,1,2,,2,20,1,Filiphino,Ventura,English,,
228,3,none,human,neutral,,6,3,5,0,,2,2,1,2,1,5,1,1,2,3,6,,3,1,2,2,1,1,1,2,2,2,6,,2,3,1,1,1,1,1,2,1,1,3,,1,1,1,1,,2,18,1,Korean,"Icheon, South Korea",Korean,,
258,3,none,human,neutral,,3,4,7,2,,1,1,1,2,1,1,1,1,2,3,3,,1,2,2,3,1,3,2,3,1,3,7,,1,2,1,1,1,2,3,2,1,1,4,,2,3,1,1,,2,18,1,Chinese,"Kowloon, Hong Kong",English,,
300,3,none,human,neutral,,4,3,8,1,,1,2,1,1,2,4,1,1,5,1,4,,1,3,3,2,2,1,2,3,2,3,8,,1,1,1,1,1,2,1,3,1,2,3,,2,1,1,1,,2,19,1,Taiwanese,Taiwan,Mandarin Chinese,,
252,3,none,human,neutral,,3,0,3,1,,1,1,1,1,1,4,1,1,5,3,3,,1,3,1,3,1,1,1,1,3,1,3,,1,1,1,1,1,1,1,1,1,1,0,,1,3,1,1,,2,19,5,,"Riverside, California",English,,
294,3,none,human,neutral,,3,2,2,2,,1,1,2,1,1,1,1,3,6,1,3,,1,3,1,1,1,1,1,2,1,1,2,,2,3,1,1,1,1,1,1,1,1,2,,1,3,1,2,,1,20,5,,"Sacramento,CA",English,,
145,3,none,human,neutral,,6,1,4,2,,1,1,1,3,2,4,1,2,5,2,6,,1,1,1,1,1,1,2,2,3,2,4,,1,1,1,1,2,1,1,1,1,1,1,,2,1,1,2,,1,18,6,,New Jersey,English,,
150,3,none,human,neutral,,6,4,3,2,,1,1,2,3,2,1,1,2,6,3,6,,1,3,1,1,1,3,1,1,3,1,3,,1,2,1,1,3,1,2,3,1,1,4,,2,1,3,1,,1,18,6,,"burbank, CA",english,,
156,3,none,human,neutral,,2,4,3,2,,1,1,1,1,1,1,1,1,2,2,2,,1,2,1,1,1,1,1,1,3,3,3,,3,2,1,1,1,2,1,3,1,1,4,,3,1,1,2,,1,18,6,,Orange County,English,,
192,3,none,human,neutral,,1,1,2,2,,1,1,1,1,1,1,1,1,2,1,1,,1,3,2,1,1,1,1,1,1,1,2,,1,1,3,1,1,1,1,1,1,1,1,,3,2,1,1,,1,22,6,,California,English,,
204,3,none,human,neutral,,7,4,7,3,,1,2,2,1,1,4,3,3,2,3,7,,1,3,1,3,3,1,3,2,2,3,7,,1,2,1,1,3,3,1,3,1,1,4,,3,1,2,2,,1,18,6,,america,English,,
264,3,none,human,neutral,,6,5,6,2,,3,1,2,1,1,1,2,2,5,1,5,,2,1,2,1,3,1,1,2,2,2,6,,2,2,1,1,1,2,1,3,1,3,5,,2,1,1,2,,1,18,6,,"San Diego, CA",English,,
168,3,none,human,neutral,,4,3,6,1,,3,1,1,1,1,4,1,1,2,3,4,,2,3,1,1,1,2,2,3,1,3,6,,2,2,1,2,1,1,1,1,1,1,3,,1,1,1,2,,2,18,6,,"redmond, wa",english,,
174,3,none,human,neutral,,5,5,3,0,,1,2,1,1,2,1,1,2,2,3,5,,1,2,2,1,1,1,2,1,1,1,3,,2,2,3,1,1,1,3,3,1,1,5,,1,1,1,1,,2,18,6,,"San Jose, California ",English ,,
240,3,none,human,neutral,,3,3,3,3,,1,1,1,1,1,4,2,1,2,1,3,,2,1,1,1,1,2,3,1,1,1,3,,1,2,1,1,1,1,3,2,1,1,3,,2,1,3,2,,2,19,6,,"San Francisco, CA",English,,
246,3,none,human,neutral,,2,1,5,2,,1,2,1,1,1,1,1,1,6,1,2,,1,2,2,1,2,1,1,1,3,3,5,,2,1,1,1,1,1,1,1,1,1,1,,3,1,1,2,,2,21,6,,California,English,,
276,3,none,human,neutral,,9,4,4,4,,2,1,3,3,3,4,3,3,5,3,9,,2,2,1,1,1,1,1,2,2,1,4,,3,2,1,3,1,1,1,3,1,1,4,,2,3,3,2,,2,18,6,,"Tver, Russia",English,,
282,3,none,human,neutral,,4,3,4,2,,3,1,2,1,1,1,1,1,5,3,4,,1,2,2,1,1,1,1,2,1,3,4,,1,1,1,1,1,2,2,3,1,1,3,,2,1,1,2,,2,19,6,,California,English,,
288,3,none,human,neutral,,2,3,5,4,,1,1,1,1,1,1,3,1,2,1,2,,1,2,2,1,3,1,1,2,3,1,5,,2,2,3,1,1,1,1,1,1,1,3,,2,3,3,2,,2,19,6,,"Victorville, CA",English,,
157,4,none,neutral,human,,3,2,4,1,,1,1,1,1,1,4,1,1,2,2,3,,1,1,1,1,1,1,1,1,2,2,2,,1,2,1,1,1,2,2,3,1,1,4,,1,1,1,2,,1,18,1,Taiwanese,US,Mandarin,,
151,4,none,neutral,human,,3,1,4,0,,1,1,1,1,3,5,1,1,5,1,3,,1,2,1,1,1,1,1,1,1,1,1,,2,2,3,1,1,1,1,3,1,1,4,,1,1,1,1,,2,18,1,Japanese,Santa Monica,English,,
211,4,none,neutral,human,,2,7,6,1,,1,1,1,2,1,1,1,1,5,2,3,,1,2,2,2,1,1,2,2,2,3,7,,1,2,2,1,1,2,3,3,3,1,6,,1,1,1,2,,2,19,1,Taiwanese,Taiwan,Mandarin Chinese,,
217,4,none,neutral,human,,1,1,4,2,,1,1,1,1,1,1,1,1,6,1,1,,1,1,1,1,1,1,1,1,1,2,1,,1,2,1,1,1,2,2,1,1,2,4,,2,3,1,1,,2,21,1,Chinese,San francisco,Chinese/English,,
223,4,none,neutral,human,,3,4,3,2,,1,1,1,2,1,4,1,1,2,1,3,,2,1,2,1,1,1,2,1,3,1,4,,1,2,1,1,1,1,2,2,1,1,3,,2,1,3,1,,2,19,1,Filipino,San Diego,English,,
229,4,none,neutral,human,,8,6,7,1,,2,2,3,2,2,5,1,1,6,3,8,,1,2,2,1,1,1,2,2,3,2,6,,3,3,2,3,3,3,1,1,2,1,7,,3,1,1,1,,2,19,1,Korean-American,Mountain View,Korean,,
247,4,none,neutral,human,,5,6,2,1,,1,1,2,1,3,5,1,1,5,3,5,,2,2,2,1,1,1,3,2,1,2,6,,1,1,2,1,1,1,1,3,1,1,2,,2,1,1,1,,2,20,1,Japanese/Chinese-American,"Thousand Oaks, California",English,,
259,4,none,neutral,human,,7,4,8,0,,3,2,2,1,1,5,3,1,2,3,7,,1,1,1,1,2,2,1,2,1,2,4,,3,2,1,1,3,2,2,3,3,2,8,,1,1,1,1,,2,20,1,Vietnamese,Los Angeles,Vietnamese,,
271,4,none,neutral,human,,6,2,7,1,,1,2,2,1,3,5,1,1,2,2,6,,1,3,2,1,1,1,1,1,1,1,2,,3,2,3,3,3,2,1,1,1,3,7,,1,1,1,2,,2,18,1,Asian American,Monterey Park,English and Chinese,,
295,4,none,neutral,human,,3,5,6,1,,3,2,1,1,1,1,1,1,6,1,3,,1,3,1,2,1,1,1,2,2,2,5,,3,2,2,1,1,2,1,3,2,1,6,,2,1,1,1,,2,18,1,Chinese,Monterey Park,English,,
301,4,none,neutral,human,,5,7,5,1,,1,1,1,1,2,5,1,3,6,3,5,,2,3,2,3,1,1,3,2,1,3,7,,2,2,2,1,1,1,1,2,1,3,5,,1,1,1,2,,2,19,1,,California,"English, Mandarin, Cantonese",,
128,4,none,neutral,human,,8,6,8,1,,3,2,2,1,3,5,2,1,2,3,8,,2,2,2,3,1,1,1,1,3,3,6,,3,2,1,1,3,2,3,3,2,3,8,,1,1,2,1,,1,19,6,,Santa Barbara,English,,
169,4,none,neutral,human,,6,4,3,2,,2,1,2,2,1,1,1,3,5,3,6,,1,3,1,1,1,1,1,2,3,3,4,,2,2,1,1,1,3,1,1,1,1,3,,2,1,1,2,,1,18,6,,"Red Bluff, CA",English,,
193,4,none,neutral,human,,4,6,2,3,,3,2,1,1,1,5,1,1,6,1,4,,2,1,1,2,1,1,2,2,2,3,6,,1,2,1,1,1,1,1,3,1,1,2,,3,1,2,2,,1,20,6,,"Inglewood, CA",English,,
199,4,none,neutral,human,,2,1,2,4,,1,2,1,1,1,1,1,1,6,1,2,,1,1,1,1,1,1,1,1,1,2,1,,1,3,3,1,1,1,1,1,1,1,2,,,,,2,,1,19,6,,"Salt Lake City, Utah",English,,
205,4,none,neutral,human,,7,5,5,1,,3,1,2,2,2,4,1,1,2,3,7,,2,3,2,1,1,1,1,3,1,2,5,,3,2,2,3,1,1,1,2,1,1,5,,3,1,1,1,,1,18,6,,"Newport Beach, Ca",english,,
289,4,none,neutral,human,,5,4,7,1,,3,1,1,2,1,4,1,3,5,1,5,,1,3,1,1,3,1,1,1,3,2,4,,3,3,1,3,1,3,3,3,1,3,7,,1,1,1,2,,1,18,6,,"Ventura, CA",English,,
140,4,none,neutral,human,,2,5,2,3,,1,1,1,1,1,4,1,1,2,1,2,,1,1,2,3,1,1,3,1,3,3,5,,1,3,1,1,1,1,1,3,1,1,2,,2,1,2,2,,2,18,6,,"Walnut Creek, CA",English,,
146,4,none,neutral,human,,3,5,5,1,,1,1,3,1,1,1,1,,6,1,3,,2,2,1,2,1,1,2,2,1,1,5,,1,2,1,3,1,,1,3,1,3,5,,1,1,1,2,,2,18,6,,"San Mateo, CA",English,,
163,4,none,neutral,human,,6,2,2,1,,1,2,2,1,1,4,3,2,2,1,6,,1,1,2,1,1,1,1,1,1,3,2,,1,2,1,1,1,1,1,3,1,1,2,,2,1,1,1,,2,19,6,,"Studio City, CA",English,,
175,4,none,neutral,human,,3,3,1,2,,1,2,2,1,1,1,1,1,2,1,3,,1,1,1,2,1,1,1,1,3,2,3,,1,2,1,1,1,1,1,1,1,1,1,,2,1,2,1,,2,18,6,,"North Carolina, USA",English,,
